INDEX,codigo,recorte_id,posicion,frase
0,DISCURSO_001,DISCURSO_001_FR_001,1,"Buenos días a todos; ni que hablar que les voy a decir que es un placer estar, no?."
1,DISCURSO_001,DISCURSO_001_FR_002,2,Por lo menos parece que todavía conservo los reflejos.
2,DISCURSO_001,DISCURSO_001_FR_003,3,Es un placer para mí volver a presentarme ante todos ustedes.
3,DISCURSO_001,DISCURSO_001_FR_004,4,"A más de un año de la última vez, quiero agradecer a la flamante Presidente Bettina Bulgheroni por su cordial invitación y, por supuesto, extiendo mi agradecimiento a todas las autoridades de la institución y a todos los presentes."
4,DISCURSO_001,DISCURSO_001_FR_005,5,"Como todos saben – ayer - en una actividad de campaña vivimos una situación aberrante; un grupejo violento irrumpió por la fuerza y empezó a arrojar piedras hacia nosotros y como todos también saben esto se dio, en medio de un contexto de burdas operaciones difamadoras."
5,DISCURSO_001,DISCURSO_001_FR_006,6,"Cuando nos metimos en la política sabíamos que esto iba a ser difícil porque la casta está enquistada en el Estado hace décadas y que van a hacer lo que sea por defender sus privilegios; sabíamos que los poderosos no se iban a rendir, y - junto al Círculo Rojo - se dedicarán a difamarnos, calumniarnos e injuriarnos."
6,DISCURSO_001,DISCURSO_001_FR_007,7,"Incluso - desde que yo era tan solo un ciudadano, hablando – públicamente - como economista."
7,DISCURSO_001,DISCURSO_001_FR_008,8,"Cuando lanzamos nuestra campaña inventaron salvajadas de venta de candidaturas, que íbamos a habilitar la venta de órganos, que permitiríamos que los niños compraran armas por internet, y cuántas de tantas aberraciones que dijeron, como el incesto, como la zoofilia."
8,DISCURSO_001,DISCURSO_001_FR_009,9,Se cansaron de decir todo tipo de barbaridades.
9,DISCURSO_001,DISCURSO_001_FR_010,10,"La opereta – de esta semana - no es más que otro ítem, en la larga lista de artilugios de la casta y - tal como todas las anteriores - una nueva mentira."
10,DISCURSO_001,DISCURSO_001_FR_011,11,"Como en todos los otros casos, dependerá de la Justicia esclarecerlo, y nosotros nos encontramos a su disposición, una vez más, y esperamos que todo se aclare tan pronto como sea posible."
11,DISCURSO_001,DISCURSO_001_FR_012,12,"Lamentamos que los jueces tengan que estar perdiendo su tiempo con jugarretas de la política más rancia, en lugar de poder estar abocándose a perseguir el crimen."
12,DISCURSO_001,DISCURSO_001_FR_013,13,"Este tipo de acciones refleja de manera fidedigna el comportamiento de la casta, manifestado en una nueva embestida por frenar el proceso de cambio que el país está atravesando."
13,DISCURSO_001,DISCURSO_001_FR_014,14,"Como la gente votó un gobierno que vino a terminar con todos sus curros y privilegios, su respuesta es generar pánico y caos en la gente, infiltrarse, difamar, cualquier otra maniobra que entorpezca el proceso de cambio que estamos llevando adelante."
14,DISCURSO_001,DISCURSO_001_FR_015,15,"Vamos a dejarles algo en claro: ni la gente mastica vidrio, ni nos vamos a dejar amedrentar con estas acciones cobardes."
15,DISCURSO_001,DISCURSO_001_FR_016,16,"En todo caso, nos envalentonan porque demuestran que tienen miedo, que están desesperados y porque dejan en claro - una vez más - que no vienen por Javier Milei, sino que vienen por la libertad de todos los argentinos, y yo tan sólo me puse en el camino."
16,DISCURSO_001,DISCURSO_001_FR_017,17,"Este 7 de septiembre los bonaerenses le van a poner fin al régimen de mentiras, violencia, corrupción y extorsión del kirchnerismo."
17,DISCURSO_001,DISCURSO_001_FR_018,18,Es ahora más que nunca que tenemos que decir: “Kirchnerismo nunca más”.
18,DISCURSO_001,DISCURSO_001_FR_019,19,"Cuando me presenté ante ustedes el año pasado, cierto ruido en el mercado generaba algún grado de ansiedad."
19,DISCURSO_001,DISCURSO_001_FR_020,20,Les expliqué que el ruido no era más que eso: ruido.
20,DISCURSO_001,DISCURSO_001_FR_021,21,"Y el tiempo terminó dándome la razón, dado que no nos movimos ni un centímetro de nuestro plan y todo terminó acomodándose tal cual les anticipé."
21,DISCURSO_001,DISCURSO_001_FR_022,22,"Quizás recordarán, a su vez, que les di una hoja de ruta de nuestra gestión."
22,DISCURSO_001,DISCURSO_001_FR_023,23,"Allí afirmé que nuestro objetivo era el de la baja de impuestos, y que el orden sería comenzar con el Impuesto País; luego avanzar con las retenciones y después con el impuesto a los créditos y débitos bancarios, conocido como el Impuesto al Cheque."
23,DISCURSO_001,DISCURSO_001_FR_024,24,"Hoy, a más de un año, podemos decir que hemos cumplido con haber eliminado el Impuesto País, y también levantamos el cepo cambiario."
24,DISCURSO_001,DISCURSO_001_FR_025,25,Estamos avanzando tan rápido como podemos en eliminar las retenciones.
25,DISCURSO_001,DISCURSO_001_FR_026,26,"Una vez eliminadas por completo, podremos avanzar sobre el último gran impuesto distorsivo, que se cobra en esta Nación, que es el Impuesto al Cheque."
26,DISCURSO_001,DISCURSO_001_FR_027,27,"Nuestro sendero es claro, pero la velocidad en la que transitamos depende de los obstáculos que se presenten en el camino."
27,DISCURSO_001,DISCURSO_001_FR_028,28,¿Por qué digo esto?
28,DISCURSO_001,DISCURSO_001_FR_029,29,"Porque - nuevamente - somos testigos de ruidos, y estos ruidos se ven amplificados por las elecciones."
29,DISCURSO_001,DISCURSO_001_FR_030,30,"Tenemos un Congreso, secuestrado por lo peor de la clase política argentina, es decir el kirchnerismo; un Congreso que representa los intereses más bajos de lo que vive del pagador de impuestos; un Congreso que, temeroso de que terminemos con el negocio de ellos y de sus amigos, quiere llevarse puesto al Gobierno nacional, elegido por el 56% de los argentinos."
30,DISCURSO_001,DISCURSO_001_FR_031,31,¿Y de qué manera?
31,DISCURSO_001,DISCURSO_001_FR_032,32,"Yendo contra nuestro superávit fiscal, que consideramos la piedra angular del proyecto nacional que hará a la Argentina grande nuevamente."
32,DISCURSO_001,DISCURSO_001_FR_033,33,Y lo hacen justamente porque saben que nuestro plan de gobierno está funcionando.
33,DISCURSO_001,DISCURSO_001_FR_034,34,"De otra manera, no estarían tan obsesionados con aprobar leyes de quiebra."
34,DISCURSO_001,DISCURSO_001_FR_035,35,Saben muy bien que con cada minuto que pasa se consolida un nuevo paradigma que echa por la borda su modelo.
35,DISCURSO_001,DISCURSO_001_FR_036,36,"Por eso están tan desesperados, pues ven desvanecerse todo lo que construyeron a lo largo de las últimas décadas, aterrados acerca de un futuro incierto en el sector privado; y el mercado, por su parte, acostumbrado al comportamiento sociopático, de su mal llamada clase dirigente, vive estos momentos con gran zozobra."
36,DISCURSO_001,DISCURSO_001_FR_037,37,"Como quien se ha quemado con leche tantas veces, ven la vaca y lloran."
